model,name,state,transient,info
account.edi.common,"Common functions for EDI documents: generate the data, the constraints, etc",base,False,"
    Updates the base class to support setting xids directly in create by
    providing an ""id"" key (otherwise stripped by create) during an import
    (which should strip 'id' from the input data anyway)
    "
account.edi.document,Electronic Document for an account.move,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
account.edi.format,EDI format,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
account.edi.xml.cii,Factur-x/XRechnung CII 2.2.0,base,False,"
    Updates the base class to support setting xids directly in create by
    providing an ""id"" key (otherwise stripped by create) during an import
    (which should strip 'id' from the input data anyway)
    "
account.edi.xml.ubl_20,UBL 2.0,base,False,"
    Updates the base class to support setting xids directly in create by
    providing an ""id"" key (otherwise stripped by create) during an import
    (which should strip 'id' from the input data anyway)
    "
account.edi.xml.ubl_21,UBL 2.1,base,False,"
    Updates the base class to support setting xids directly in create by
    providing an ""id"" key (otherwise stripped by create) during an import
    (which should strip 'id' from the input data anyway)
    "
account.edi.xml.ubl_a_nz,A-NZ BIS Billing 3.0,base,False,"
    Updates the base class to support setting xids directly in create by
    providing an ""id"" key (otherwise stripped by create) during an import
    (which should strip 'id' from the input data anyway)
    "
account.edi.xml.ubl_bis3,UBL BIS Billing 3.0.12,base,False,"
    Updates the base class to support setting xids directly in create by
    providing an ""id"" key (otherwise stripped by create) during an import
    (which should strip 'id' from the input data anyway)
    "
account.edi.xml.ubl_de,BIS3 DE (XRechnung),base,False,"
    Updates the base class to support setting xids directly in create by
    providing an ""id"" key (otherwise stripped by create) during an import
    (which should strip 'id' from the input data anyway)
    "
account.edi.xml.ubl_efff,E-FFF (BE),base,False,"
    Updates the base class to support setting xids directly in create by
    providing an ""id"" key (otherwise stripped by create) during an import
    (which should strip 'id' from the input data anyway)
    "
account.edi.xml.ubl_nl,SI-UBL 2.0 (NLCIUS),base,False,"
    Updates the base class to support setting xids directly in create by
    providing an ""id"" key (otherwise stripped by create) during an import
    (which should strip 'id' from the input data anyway)
    "
account.edi.xml.ubl_sg,SG BIS Billing 3.0,base,False,"
    Updates the base class to support setting xids directly in create by
    providing an ""id"" key (otherwise stripped by create) during an import
    (which should strip 'id' from the input data anyway)
    "
account.financial.year.op,Opening Balance of Financial Year,base,True," Model super-class for transient records, meant to be temporarily
    persistent, and regularly vacuum-cleaned.

    A TransientModel has a simplified access rights management, all users can
    create new records, and may only access the records they created. The
    superuser has unrestricted access to all TransientModel records.
    "
account.fiscal.position,Fiscal Position,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
account.fiscal.position.account,Accounts Mapping of Fiscal Position,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
account.fiscal.position.account.template,Accounts Mapping Template of Fiscal Position,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
account.fiscal.position.tax,Tax Mapping of Fiscal Position,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
account.fiscal.position.tax.template,Tax Mapping Template of Fiscal Position,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
account.fiscal.position.template,Template for Fiscal Position,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
account.full.reconcile,Full Reconcile,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
account.group,Account Group,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
account.group.template,Template for Account Groups,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
account.incoterms,Incoterms,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
account.invoice.report,Invoices Statistics,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
account.invoice.send,Account Invoice Send,base,True," Model super-class for transient records, meant to be temporarily
    persistent, and regularly vacuum-cleaned.

    A TransientModel has a simplified access rights management, all users can
    create new records, and may only access the records they created. The
    superuser has unrestricted access to all TransientModel records.
    "
account.journal,Journal,base,False,Populate factory part for account.journal.
account.journal.group,Account Journal Group,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
account.move,Journal Entry,base,False,"Populate factory part for account.move.

    Because of the complicated nature of the interraction of account.move and account.move.line,
    both models are actualy generated in the same factory.
    "
account.move.line,Journal Item,base,False, Override AccountInvoice_line to add the link to the purchase order line it is related to
account.move.reversal,Account Move Reversal,base,True,"
    Account move reversal wizard, it cancel an account move by reversing it.
    "
account.partial.reconcile,Partial Reconcile,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
account.payment,Payments,base,False,Populate factory part for account.payment.
account.payment.method,Payment Methods,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
account.payment.method.line,Payment Methods,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
account.payment.register,Register Payment,base,True," Model super-class for transient records, meant to be temporarily
    persistent, and regularly vacuum-cleaned.

    A TransientModel has a simplified access rights management, all users can
    create new records, and may only access the records they created. The
    superuser has unrestricted access to all TransientModel records.
    "
account.payment.term,Payment Terms,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
account.payment.term.line,Payment Terms Line,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
account.reconcile.model,Preset to create journal entries during a invoices and payments matching,base,False,Populate factory part for account.reconcile.model.
account.reconcile.model.line,Rules for the reconciliation model,base,False,Populate factory part for account.reconcile.model.line.
account.reconcile.model.line.template,Reconcile Model Line Template,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
account.reconcile.model.partner.mapping,Partner mapping for reconciliation models,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
account.reconcile.model.template,Reconcile Model Template,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
account.report,Accounting Report,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
account.report.column,Accounting Report Column,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
account.report.expression,Accounting Report Expression,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
account.report.external.value,Accounting Report External Value,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
account.report.line,Accounting Report Line,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
account.resequence.wizard,Remake the sequence of Journal Entries.,base,True," Model super-class for transient records, meant to be temporarily
    persistent, and regularly vacuum-cleaned.

    A TransientModel has a simplified access rights management, all users can
    create new records, and may only access the records they created. The
    superuser has unrestricted access to all TransientModel records.
    "
account.root,Account codes first 2 digits,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
account.setup.bank.manual.config,Bank setup manual config,base,True," Model super-class for transient records, meant to be temporarily
    persistent, and regularly vacuum-cleaned.

    A TransientModel has a simplified access rights management, all users can
    create new records, and may only access the records they created. The
    superuser has unrestricted access to all TransientModel records.
    "
account.tax,Tax,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
account.tax.group,Tax Group,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
account.tax.repartition.line,Tax Repartition Line,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
account.tax.repartition.line.template,Tax Repartition Line Template,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
account.tax.template,Templates for Taxes,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
account.tour.upload.bill,Account tour upload bill,base,True," Model super-class for transient records, meant to be temporarily
    persistent, and regularly vacuum-cleaned.

    A TransientModel has a simplified access rights management, all users can
    create new records, and may only access the records they created. The
    superuser has unrestricted access to all TransientModel records.
    "
account.tour.upload.bill.email.confirm,Account tour upload bill email confirm,base,True," Model super-class for transient records, meant to be temporarily
    persistent, and regularly vacuum-cleaned.

    A TransientModel has a simplified access rights management, all users can
    create new records, and may only access the records they created. The
    superuser has unrestricted access to all TransientModel records.
    "
account.unreconcile,Account Unreconcile,base,True," Model super-class for transient records, meant to be temporarily
    persistent, and regularly vacuum-cleaned.

    A TransientModel has a simplified access rights management, all users can
    create new records, and may only access the records they created. The
    superuser has unrestricted access to all TransientModel records.
    "
ai.agent.message,Message de l'agent IA,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
ai.agent.thread,Session de Chat IA,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
analytic.mixin,Analytic Mixin,base,False,"
    Updates the base class to support setting xids directly in create by
    providing an ""id"" key (otherwise stripped by create) during an import
    (which should strip 'id' from the input data anyway)
    "
auth_totp.device,Authentication Device,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
auth_totp.wizard,2-Factor Setup Wizard,base,True," Model super-class for transient records, meant to be temporarily
    persistent, and regularly vacuum-cleaned.

    A TransientModel has a simplified access rights management, all users can
    create new records, and may only access the records they created. The
    superuser has unrestricted access to all TransientModel records.
    "
avatar.mixin,Avatar Mixin,base,False,"
    Updates the base class to support setting xids directly in create by
    providing an ""id"" key (otherwise stripped by create) during an import
    (which should strip 'id' from the input data anyway)
    "
barcode.nomenclature,Barcode Nomenclature,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
barcode.rule,Barcode Rule,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
barcodes.barcode_events_mixin,Barcode Event Mixin,base,False," Mixin class for objects reacting when a barcode is scanned in their form views
        which contains `<field name=""_barcode_scanned"" widget=""barcode_handler""/>`.
        Models using this mixin must implement the method on_barcode_scanned. It works
        like an onchange and receives the scanned barcode in parameter.
    "
base,Base,base,False,"
    Updates the base class to support setting xids directly in create by
    providing an ""id"" key (otherwise stripped by create) during an import
    (which should strip 'id' from the input data anyway)
    "
base.document.layout,Company Document Layout,base,True,"
    Customise the company document layout and display a live preview
    "
base.enable.profiling.wizard,Enable profiling for some time,base,True," Model super-class for transient records, meant to be temporarily
    persistent, and regularly vacuum-cleaned.

    A TransientModel has a simplified access rights management, all users can
    create new records, and may only access the records they created. The
    superuser has unrestricted access to all TransientModel records.
    "
base.language.export,Language Export,base,True," Model super-class for transient records, meant to be temporarily
    persistent, and regularly vacuum-cleaned.

    A TransientModel has a simplified access rights management, all users can
    create new records, and may only access the records they created. The
    superuser has unrestricted access to all TransientModel records.
    "
base.language.import,Language Import,base,True," Model super-class for transient records, meant to be temporarily
    persistent, and regularly vacuum-cleaned.

    A TransientModel has a simplified access rights management, all users can
    create new records, and may only access the records they created. The
    superuser has unrestricted access to all TransientModel records.
    "
base.language.install,Install Language,base,True," Model super-class for transient records, meant to be temporarily
    persistent, and regularly vacuum-cleaned.

    A TransientModel has a simplified access rights management, all users can
    create new records, and may only access the records they created. The
    superuser has unrestricted access to all TransientModel records.
    "
base.module.install.request,Module Activation Request,base,True," Model super-class for transient records, meant to be temporarily
    persistent, and regularly vacuum-cleaned.

    A TransientModel has a simplified access rights management, all users can
    create new records, and may only access the records they created. The
    superuser has unrestricted access to all TransientModel records.
    "
base.module.install.review,Module Activation Review,base,True," Model super-class for transient records, meant to be temporarily
    persistent, and regularly vacuum-cleaned.

    A TransientModel has a simplified access rights management, all users can
    create new records, and may only access the records they created. The
    superuser has unrestricted access to all TransientModel records.
    "
base.module.uninstall,Module Uninstall,base,True," Model super-class for transient records, meant to be temporarily
    persistent, and regularly vacuum-cleaned.

    A TransientModel has a simplified access rights management, all users can
    create new records, and may only access the records they created. The
    superuser has unrestricted access to all TransientModel records.
    "
base.module.update,Update Module,base,True," Model super-class for transient records, meant to be temporarily
    persistent, and regularly vacuum-cleaned.

    A TransientModel has a simplified access rights management, all users can
    create new records, and may only access the records they created. The
    superuser has unrestricted access to all TransientModel records.
    "
base.module.upgrade,Upgrade Module,base,True," Model super-class for transient records, meant to be temporarily
    persistent, and regularly vacuum-cleaned.

    A TransientModel has a simplified access rights management, all users can
    create new records, and may only access the records they created. The
    superuser has unrestricted access to all TransientModel records.
    "
base.partner.merge.automatic.wizard,Merge Partner Wizard,base,True,"
        The idea behind this wizard is to create a list of potential partners to
        merge. We use two objects, the first one is the wizard for the end-user.
        And the second will contain the partner list to merge.
    "
base.partner.merge.line,Merge Partner Line,base,True," Model super-class for transient records, meant to be temporarily
    persistent, and regularly vacuum-cleaned.

    A TransientModel has a simplified access rights management, all users can
    create new records, and may only access the records they created. The
    superuser has unrestricted access to all TransientModel records.
    "
base_import.import,Base Import,base,True,"
    This model is used to prepare the loading of data coming from a user file.

    Here is the process that is followed:

    #. The user selects a file to import.
    #. File parsing and mapping suggestion (see ""parse_preview"" method)

       #. Extract the current model's importable fields tree (see :meth:`get_fields_tree`).
       #. Read the file (see :meth:`_read_file`) and extract header names and file
          length (used for batch import).
       #. Extract headers types from the data preview (10 first line of the file)
          (see :meth:`_extract_headers_types`).
       #. Try to find for each header a field to map with (see :meth:`_get_mapping_suggestions`)

          - First check the previously saved mappings between the header name
            and one of the model's fields.
          - If no mapping found, try an exact match comparison using fields
            technical names, labels and user language translated labels.
          - If nothing found, try a fuzzy match using word distance between
            header name and fields tachnical names, labels and user language
            translated labels. Keep only the closest match.

       #. Prepare examples for each columns using the first non null value from each column.
       #. Send the info back to the UI where the user can modify the suggested mapping.
    #. Execute the import: There are two import mode with uses the same process. (see :meth:`execute_import`)

       #. Test import: Try to import but rollback the transaction. This allows
          the check errors during the import process and allow the user to
          choose import options for the different encountered errors.
       #. Real import: Try to import the file using the configured mapping and
          the eventual ""error mapping options"". If import encounters blocking
          errors, the transaction is rollbacked and the user is allowed to
          choose import options for the different errors.

          - Get file data and fields to import into (see :meth:`_convert_import_data`).
          - Parse date, float and binary data (see :meth:`_parse_import_data`).
          - Handle multiple mapping -> concatenate char/text/many2many columns
            mapped on the same field (see :meth:`_handle_multi_mapping`).
          - Handle fallback values for boolean and selection fields, in case
            input data does not match any allowed values (see :meth:`_handle_fallback_values`).
          - Load data (see ir.model ""load"" method).
          - Rollback transaction if test mode or if encountered error.
          - Save mapping if any import is successful to ease later mapping suggestions.
          - Return import result to the UI (success or errors if any).
    "
base_import.mapping,Base Import Mapping,base,False," mapping of previous column:field selections

    This is useful when repeatedly importing from a third-party
    system: column names generated by the external system may
    not match Odoo's field names or labels. This model is used
    to save the mapping between column names and fields so that
    next time a user imports from the same third-party systems
    we can automatically match the columns to the correct field
    without them having to re-enter the mapping every single
    time.
    "
base_import.tests.models.char,"Tests : Base Import Model, Character",base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
base_import.tests.models.char.noreadonly,"Tests : Base Import Model, Character No readonly",base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
base_import.tests.models.char.readonly,"Tests : Base Import Model, Character readonly",base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
base_import.tests.models.char.required,"Tests : Base Import Model, Character required",base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
base_import.tests.models.char.states,"Tests : Base Import Model, Character states",base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
base_import.tests.models.char.stillreadonly,"Tests : Base Import Model, Character still readonly",base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
base_import.tests.models.complex,Tests: Base Import Model Complex,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
base_import.tests.models.float,Tests: Base Import Model Float,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
base_import.tests.models.m2o,"Tests : Base Import Model, Many to One",base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
base_import.tests.models.m2o.related,"Tests : Base Import Model, Many to One related",base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
base_import.tests.models.m2o.required,"Tests : Base Import Model, Many to One required",base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
base_import.tests.models.m2o.required.related,"Tests : Base Import Model, Many to One required related",base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
base_import.tests.models.o2m,"Tests : Base Import Model, One to Many",base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
base_import.tests.models.o2m.child,"Tests : Base Import Model, One to Many child",base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
base_import.tests.models.preview,Tests : Base Import Model Preview,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
bus.bus,Communication Bus,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
bus.presence,User Presence,base,False," User Presence
        Its status is 'online', 'away' or 'offline'. This model should be a one2one, but is not
        attached to res_users to avoid database concurrence errors. Since the 'update' method is executed
        at each poll, if the user have multiple opened tabs, concurrence errors can happend, but are 'muted-logged'.
    "
calendar.alarm,Event Alarm,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
calendar.alarm_manager,Event Alarm Manager,base,False,"
    Updates the base class to support setting xids directly in create by
    providing an ""id"" key (otherwise stripped by create) during an import
    (which should strip 'id' from the input data anyway)
    "
calendar.attendee,Calendar Attendee Information,base,False, Calendar Attendee Information 
calendar.event,Calendar Event,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
calendar.event.type,Event Meeting Type,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
calendar.filters,Calendar Filters,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
calendar.provider.config,Calendar Provider Configuration Wizard,base,True," Model super-class for transient records, meant to be temporarily
    persistent, and regularly vacuum-cleaned.

    A TransientModel has a simplified access rights management, all users can
    create new records, and may only access the records they created. The
    superuser has unrestricted access to all TransientModel records.
    "
calendar.recurrence,Event Recurrence Rule,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
change.password.own,"User, change own password wizard",base,True," Model super-class for transient records, meant to be temporarily
    persistent, and regularly vacuum-cleaned.

    A TransientModel has a simplified access rights management, all users can
    create new records, and may only access the records they created. The
    superuser has unrestricted access to all TransientModel records.
    "
change.password.user,"User, Change Password Wizard",base,True, A model to configure users in the change password wizard. 
change.password.wizard,Change Password Wizard,base,True, A wizard to manage the change of users' passwords. 
chatbot.message,Chatbot Message,base,False," Chatbot Mail Message
        We create a new model to store the related step to a mail.message and the user's answer.
        We do this in a new model to avoid bloating the 'mail.message' model.
    "
chatbot.script,Chatbot Script,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
chatbot.script.answer,Chatbot Script Answer,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
chatbot.script.step,Chatbot Script Step,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
